luu131_(sigma,mu)
0.2340873929034493092461568228	(1,1)
0.2340873927159491199862782949	(1,2)
0.2340873914515683744872445863	(1,3)
0.2340873873802505460260953377	(1,4)
0.234087378026435005779841641	(1,5)
0.234087360306323138855576268	(1,6)
0.234087330700920798124085029	(1,7)
0.234087285456875054816828733	(1,8)
0.234087220805812334717797434	(1,9)
0.234087133191985952602410129	(1,10)
0.234087019497594059077061936	(1,11)
0.234086877255154545829356607	(1,12)
0.23408670483682123555073355	(1,13)
0.234086501611474698396407489	(1,14)
0.234086268061780454225395512	(1,15)
0.234086005855118262688126045	(1,16)
0.23408571786427431977230716	(1,17)
0.234085408135966887312087463	(1,18)
0.234085081807550148632936381	(1,19)
0.234084744974511577109018533	(1,20)
0.234084404513545534006835205	(1,21)
0.23408406786795526727149491	(1,22)
0.234083742803820583950567215	(1,23)
0.234083437146695144600740389	(1,24)
0.234083158509507057861980166	(1,25)
0.234082914022788831438835237	(1,26)
0.234082710078337243847227532	(1,27)
0.23408255209690061451527942	(1,28)
0.234082444329531334060755366	(1,29)
0.23408238970086631837424443	(1,30)
0.239013103477148588535983412	(2,1)
0.239013101763898590693428781	(2,2)
0.239013090210841932269258913	(2,3)
0.239013053009891385603759049	(2,4)
0.239012967541046967454918025	(2,5)
0.239012805626640589720015296	(2,6)
0.239012535112480371882850166	(2,7)
0.239012121702960045764995728	(2,8)
0.239011530965221129838320209	(2,9)
0.239010730409240522424459502	(2,10)
0.239009691546631921052985512	(2,11)
0.239008391831182871985920062	(2,12)
0.239006816388697684371701497	(2,13)
0.239004959452387883072085293	(2,14)
0.239002825432473203817814107	(2,15)
0.239000429564289387613117084	(2,16)
0.238997798097364853650175483	(2,17)
0.238994968007835624603151845	(2,18)
0.238991986237348343972114564	(2,19)
0.238988908482347278606429466	(2,20)
0.238985797577445624574779623	(2,21)
0.23898272153457702937546084	(2,22)
0.238979751315020733107182722	(2,23)
0.23897695842351628971312717	(2,24)
0.238974412421996703446806284	(2,25)
0.238972178464602754295555704	(2,26)
0.238970314955408751218540648	(2,27)
0.23896887142569339980778403	(2,28)
0.238967886718821338842364104	(2,29)
0.23896738755823529830527733	(2,30)
0.248694070584823933788907365	(3,1)
0.24869406568298187653713272	(3,2)
0.248694032628110258043082249	(3,3)
0.24869392619111633512287748	(3,4)
0.248693681653105586031297582	(3,5)
0.248693218393968892776494817	(3,6)
0.248692444416295853965988918	(3,7)
0.248691261595943248150904845	(3,8)
0.248689571416311700702413738	(3,9)
0.248687280919871318836248744	(3,10)
